,Yield,Growth,Water,Overlap
0,0.0,0.0,3600,0
1,0.0002452690983679372,0.0002452690983679372,3600,0
2,0.0007187524399631274,0.0004734833415951901,3600,0
3,0.0014156077112560154,0.000696855271292888,3600,0
4,0.002387708272387061,0.0009721005611310459,3600,0
5,0.0036464236123610935,0.001258715339974032,3600,0
6,0.0051176656695952885,0.001471242057234195,3600,0
7,0.006811987559684355,0.0016943218900890668,3600,0
8,0.008755592670360099,0.0019436051106757435,3600,0
9,0.010949374453638822,0.002193781783278724,3600,0
10,0.013410312460847593,0.0024609380072087702,3600,0
11,0.01605493173160083,0.002644619270753235,3600,0
12,0.018805798945552125,0.0027508672139512982,3600,0
13,0.021930866155000915,0.0031250672094487917,3600,0
14,0.025220343782043804,0.0032894776270428875,3600,0
15,0.028679611533630092,0.0034592677515862874,3600,0
16,0.032402011148714195,0.0037223996150841003,3600,0
17,0.03639045808032244,0.003988446931608244,3600,0
18,0.040536244506282224,0.004145786425959783,3600,0
19,0.044994469608491044,0.004458225102208824,3600,0
20,0.04939167839418789,0.0043972087856968475,3600,0
21,0.05420896310219875,0.004817284708010854,3600,0
22,0.05926357394483829,0.005054610842639545,3600,0
23,0.06438853028520075,0.005124956340362454,3600,0
24,0.06973651404601534,0.005347983760814608,3600,0
25,0.07564106351354677,0.005904549467531415,3600,0
26,0.08151549771055294,0.005874434197006176,3600,0
27,0.08760247121760154,0.00608697350704859,3600,0
28,0.09403353405857164,0.006431062840970102,3600,0
29,0.10059574364094094,0.006562209582369305,3600,0
30,0.10757290910454678,0.00697716546360585,3600,0
31,0.11462893411866307,0.0070560250141162755,3600,0
32,0.12183795990503399,0.007209025786370924,3600,0
33,0.12919664483446758,0.007358684929433569,3600,0
34,0.13685930333412805,0.00766265849966048,3600,0
35,0.14469613026274822,0.00783682692862018,3600,0
36,0.1531903954253051,0.008494265162556882,3600,0
37,0.16100108147526893,0.007810686049963817,3600,0
38,0.16940579055080077,0.008404709075531834,3600,0
39,0.17854502553471624,0.00913923498391549,3600,0
40,0.18789429350295234,0.009349267968236099,3600,0
41,0.19738370888545176,0.009489415382499403,3600,0
42,0.20695671570893343,0.0095730068234817,3600,0
43,0.2164247047688125,0.009467989059879054,3600,0
44,0.22652125345674679,0.010096548687934274,3600,0
45,0.23671788478791975,0.01019663133117296,3600,0
46,0.2471735576853102,0.010455672897390501,3600,0
47,0.25783040390420897,0.010656846218898751,3600,0
48,0.26866368348496994,0.010833279580760927,3600,0
49,0.27913462170533965,0.010470938220369744,3600,0
50,0.28999630195730786,0.01086168025196822,3600,0
51,0.30104380289058713,0.01104750093327925,3600,0
52,0.3130063861668073,0.011962583276220176,3600,0
53,0.3245122195787464,0.011505833411939073,3600,0
54,0.3367723165227883,0.012260096944041936,3600,0
55,0.3488791832243319,0.012106866701543626,3600,0
56,0.3614590377311556,0.01257985450682372,3600,0
57,0.37404606844907173,0.012587030717916114,3600,0
58,0.3865330175898386,0.012486949140766812,3600,0
59,0.39975022982519703,0.013217212235358471,3600,0
60,0.41232312749114763,0.012572897665950582,3600,0
61,0.42592211422259374,0.013598986731446132,3600,0
62,0.4398085286978216,0.01388641447522785,3600,0
63,0.45348170475179067,0.013673176053969076,3600,0
64,0.4676927350022878,0.014211030250497116,3600,0
65,0.48171064543150316,0.014017910429215356,3600,0
66,0.4966733976237503,0.014962752192247117,3600,0
67,0.5110250199986961,0.01435162237494591,3600,0
68,0.5266463862869075,0.015621366288211258,3600,0
69,0.5410111297360873,0.014364743449179858,3600,0
70,0.5556125122295862,0.01460138249349889,3600,0
71,0.5705729203189844,0.014960408089398292,3600,0
72,0.5857824410685943,0.015209520749609868,3600,0
73,0.6020909628466822,0.0163085217780878,3600,0
74,0.6184028749718858,0.016311912125203658,3600,0
75,0.6338607126071285,0.0154578376352427,3600,0
76,0.650494023788659,0.016633311181530386,3600,0
77,0.6668936237355881,0.01639959994692925,3600,0
78,0.6842628276574607,0.01736920392187253,3600,0
79,0.7011213505688776,0.01685852291141685,3600,0
80,0.7184508411275042,0.017329490558626724,3600,0
81,0.7355871542525643,0.01713631312506009,3600,0
82,0.7529475694728198,0.01736041522025545,3600,0
83,0.7714861710086204,0.018538601535800538,3600,0
84,0.7893681633088059,0.017881992300185487,3600,0
85,0.8084722322387977,0.019104068929991756,3600,0
86,0.8260552991185908,0.017583066879793108,3600,0
87,0.8440467603027283,0.017991461184137504,3600,0
88,0.8630302555154081,0.018983495212679787,3600,0
89,0.8811828159416888,0.01815256042628073,3600,0
90,0.8991214714314735,0.017938655489784613,3600,0
91,0.9181132158375642,0.01899174440609077,3600,0
92,0.9372201923257333,0.019106976488169076,3600,0
93,0.956895079673008,0.019674887347274742,3600,0
94,0.9766445675016123,0.019749487828604285,3600,0
95,0.9954727594836057,0.018828191981993377,3600,0
96,1.0146515261075735,0.019178766623967895,3600,0
97,1.03491914935903,0.02026762325145635,3600,0
98,1.055900236204216,0.02098108684518614,3600,0
99,1.076280115257184,0.0203798790529679,3600,0
100,1.0967078806640356,0.020427765406851737,3600,0
101,1.1177835130889968,0.021075632424961237,3600,0
102,1.1395576880553913,0.021774174966394257,3600,0
103,1.16069432464062,0.02113663658522899,3600,0
104,1.1819577167682582,0.02126339212763829,3600,0
105,1.2025843485077887,0.02062663173953029,3600,0
106,1.22407801818772,0.021493669679931358,3600,0
107,1.246535551636102,0.022457533448381944,3600,0
108,1.2680595664489396,0.021524014812837555,3600,0
109,1.289741008539594,0.02168144209065444,3600,0
110,1.3127073948077328,0.022966386268138815,3600,0
