,Date,Yield,Growth,Water,Overlap
0,2022-01-01 01:00:00,0.0,0.0,10000,0
1,2022-01-01 02:00:00,0.0005578099208002315,0.0005578099208002315,9991,0
2,2022-01-01 03:00:00,0.0016018283131199104,0.0010440183923196788,9991,0
3,2022-01-01 04:00:00,0.003224012837792891,0.0016221845246729809,9991,0
4,2022-01-01 05:00:00,0.005406598970738894,0.002182586132946003,9991,0
5,2022-01-01 06:00:00,0.008096284699980173,0.00268968572924128,9991,0
6,2022-01-01 07:00:00,0.01129091387699712,0.003194629177016948,9991,0
7,2022-01-01 08:00:00,0.015106945710660227,0.003816031833663104,9991,0
8,2022-01-01 09:00:00,0.019422498672067932,0.004315552961407707,9991,0
9,2022-01-01 10:00:00,0.024106112452941905,0.004683613780873972,9991,0
10,2022-01-01 11:00:00,0.029441426213724076,0.005335313760782173,9991,0
11,2022-01-01 12:00:00,0.03544930078162954,0.00600787456790546,9991,0
12,2022-01-01 13:00:00,0.04185047381679924,0.006401173035169702,9991,0
13,2022-01-01 14:00:00,0.04882622705251544,0.006975753235716203,9991,0
14,2022-01-01 15:00:00,0.05624055167255272,0.0074143246200372775,9991,0
15,2022-01-01 16:00:00,0.0639617733700056,0.007721221697452868,9991,0
16,2022-01-01 17:00:00,0.07246586381854322,0.00850409044853764,9991,0
17,2022-01-01 18:00:00,0.08145819978689088,0.00899233596834766,9991,0
18,2022-01-01 19:00:00,0.09094038257376301,0.009482182786872127,9991,0
19,2022-01-01 20:00:00,0.1010383224103246,0.010097939836561596,9991,0
20,2022-01-01 21:00:00,0.11137150833047141,0.010333185920146804,9991,0
21,2022-01-01 22:00:00,0.12227966670909948,0.01090815837862808,9991,0
22,2022-01-01 23:00:00,0.1337871503095224,0.011507483600422898,9991,0
23,2022-01-02 00:00:00,0.14578126114458123,0.011994110835058832,9991,0
24,2022-01-02 01:00:00,0.15803116914457185,0.012249907999990654,9991,0
25,2022-01-02 02:00:00,0.17062708121461456,0.012595912070042691,9991,0
26,2022-01-02 03:00:00,0.18417618157267387,0.013549100358059313,9991,0
27,2022-01-02 04:00:00,0.1981575462056256,0.01398136463295171,9991,0
28,2022-01-02 05:00:00,0.21254474946215896,0.01438720325653338,9991,0
29,2022-01-02 06:00:00,0.2279154252079449,0.015370675745785926,9991,0
30,2022-01-02 07:00:00,0.2436997123705261,0.015784287162581213,9991,0
31,2022-01-02 08:00:00,0.25998381385236247,0.016284101481836382,9991,0
32,2022-01-02 09:00:00,0.276002368886583,0.01601855503422056,9991,0
33,2022-01-02 10:00:00,0.2933000133341983,0.017297644447615248,9991,0
34,2022-01-02 11:00:00,0.3112555821651325,0.017955568830934247,9991,0
35,2022-01-02 12:00:00,0.3295394009789931,0.018283818813860552,9991,0
36,2022-01-02 13:00:00,0.34827686702916016,0.018737466050167004,9991,0
37,2022-01-02 14:00:00,0.3667310634434401,0.018454196414279988,9991,0
38,2022-01-02 15:00:00,0.3857533553627106,0.019022291919270483,9991,0
39,2022-01-02 16:00:00,0.4053132549148261,0.019559899552115564,9991,0
40,2022-01-02 17:00:00,0.42545115688820234,0.020137901973376136,9991,0
41,2022-01-02 18:00:00,0.4463596772890771,0.020908520400874805,9991,0
42,2022-01-02 19:00:00,0.46734637894113745,0.020986701652060378,9991,0
43,2022-01-02 20:00:00,0.48853638563821983,0.02119000669708232,9991,0
44,2022-01-02 21:00:00,0.5101992480537607,0.02166286241554091,9991,0
45,2022-01-02 22:00:00,0.5332211717027812,0.023021923649020407,9991,0
46,2022-01-02 23:00:00,0.556760311783995,0.023539140081213848,9991,0
47,2022-01-03 00:00:00,0.5812228616532047,0.024462549869209746,9991,0
48,2022-01-03 01:00:00,0.6051013290428777,0.023878467389672968,9991,0
49,2022-01-03 02:00:00,0.6298263173896663,0.024724988346788667,9991,0
50,2022-01-03 03:00:00,0.6555222535529703,0.02569593616330388,9991,0
51,2022-01-03 04:00:00,0.6813133430921811,0.025791089539210808,9991,0
52,2022-01-03 05:00:00,0.7074057729246133,0.02609242983243229,9991,0
53,2022-01-03 06:00:00,0.7340671878009623,0.026661414876348925,9991,0
54,2022-01-03 07:00:00,0.7619771341652676,0.02790994636430524,9991,0
55,2022-01-03 08:00:00,0.7890881206563822,0.02711098649111472,9991,0
56,2022-01-03 09:00:00,0.8171255896450084,0.028037468988626024,9991,0
57,2022-01-03 10:00:00,0.8454584256926292,0.02833283604762099,9991,0
58,2022-01-03 11:00:00,0.8747438467519648,0.02928542105933562,9991,0
59,2022-01-03 12:00:00,0.904036313246494,0.029292466494529275,9991,0
60,2022-01-03 13:00:00,0.9338737474541977,0.029837434207703586,9991,0
61,2022-01-03 14:00:00,0.9639662404747187,0.030092493020520972,9991,0
62,2022-01-03 15:00:00,0.9935804188271472,0.029614178352428515,9991,0
63,2022-01-03 16:00:00,1.0240151106308277,0.030434691803680483,9991,0
64,2022-01-03 17:00:00,1.0561650460555048,0.03214993542467705,9991,0
65,2022-01-03 18:00:00,1.0873793409431256,0.03121429488762086,9991,0
66,2022-01-03 19:00:00,1.119508921278848,0.03212958033572234,9991,0
67,2022-01-03 20:00:00,1.1521825599905822,0.032673638711734336,9991,0
68,2022-01-03 21:00:00,1.186419530846574,0.03423697085599159,9991,0
69,2022-01-03 22:00:00,1.221131476605368,0.03471194575879423,9991,0
70,2022-01-03 23:00:00,1.2549039575585703,0.03377248095320228,9991,0
71,2022-01-04 00:00:00,1.288945251395645,0.03404129383707472,9991,0
72,2022-01-04 01:00:00,1.3238145780231756,0.03486932662753043,9991,0
